frame:[1178] center:[1089, 290]
frame:[1179] center:[1091, 305]
frame:[1180] center:[1093, 311]
frame:[1181] center:[1094, 324]
frame:[1182] center:[1098, 349]
frame:[1183] center:[1101, 350]
frame:[1184] center:[1105, 364]
frame:[1185] center:[1111, 387]
frame:[1186] center:[1108, 388]
frame:[1187] center:[1105, 400]
frame:[1188] center:[1113, 445]
frame:[1189] center:[1118, 450]
frame:[1190] center:[1122, 462]
frame:[1191] center:[1130, 492]
frame:[1194] center:[1138, 562]
frame:[1195] center:[1140, 566]
frame:[1196] center:[1142, 585]
frame:[1197] center:[1149, 629]
frame:[1198] center:[1151, 645]
frame:[1199] center:[1154, 664]
frame:[1200] center:[1163, 710]
frame:[1201] center:[1161, 734]
frame:[1202] center:[1175, 759]
frame:[1203] center:[1193, 823]
frame:[1204] center:[1188, 838]
